column,description,data_type,behavioral_relevance,ton_iot_equiv,iot23_equiv
TnP_PerProto,Total packets for this protocol in a recent time window. Captures prot,float64,HIGH — extreme value = protocol-specific flooding,—,—
TnP_Per_Dport,Total packets to this destination port in a recent time window.,float64,"HIGH — high = port-specific attack (e.g., HTTP flood on port",—,—
AR_P_Proto_P_SrcIP,Average rate: protocol × source IP in window.,float64,HIGH — captures per-protocol per-source flooding rate,—,—
AR_P_Proto_P_DstIP,Average rate: protocol × destination IP in window.,float64,HIGH — captures DDoS victim under specific protocol,—,—
N_IN_Conn_P_DstIP,Number of inbound connections to destination IP in window.,float64,HIGH — extreme = DDoS target,—,—
N_IN_Conn_P_SrcIP,Number of inbound connections from source IP in window.,float64,HIGH — extreme = src is a botnet node,—,—
AR_P_Proto_P_Sport,Average rate: protocol × source port in window.,float64,MEDIUM — ephemeral ports make this noisier,—,—
AR_P_Proto_P_Dport,Average rate: protocol × destination port in window.,float64,HIGH — captures service-specific attack rate,—,—
Pkts_P_State_P_Protocol_P_DestIP,Packets with this state × protocol × destination IP in window.,float64,HIGH — RST×TCP×specific_IP = targeted reset flooding,—,—
Pkts_P_State_P_Protocol_P_SrcIP,Packets with this state × protocol × source IP in window.,float64,HIGH — captures stateful pattern per source,—,—
attack,"Binary attack label: 0 = Normal traffic, 1 = Attack traffic.",int64,PRIMARY LABEL — target variable for binary classification,label,label (Malicious/Benign)
category,"Attack category string: 'Normal', 'DoS', 'DDoS', 'Reconnaissance', 'Th",str/category,MULTI-CLASS LABEL — 5 categories; use for multi-class classi,type,detailed-label (partial)
subcategory,"Fine-grained attack subtype: 'HTTP', 'UDP', 'TCP', 'Keylogging', 'Data",str/category,FINE-GRAINED LABEL — most specific class; use for hierarchic,type (partial),detailed-label
